FlowId,FiveTuple,StartTime,EndTime
0,192.168.1.137:64609 -> 142.250.82.211:3478 (Protocol: 17),2025-02-20 21:10:38.50519 +1100 AEDT,2025-02-20 21:12:28.345536 +1100 AEDT
1,192.168.1.137:58602 -> 142.250.82.215:3478 (Protocol: 17),2025-02-20 21:12:13.973861 +1100 AEDT,2025-02-20 21:12:26.770151 +1100 AEDT
